content_id,observation_time,user,user_location,social_media,publish_date,geo_location,comment_raw_text,emoji,reference_post_url,like_count,reply_count,repost_count,quote_count,bookmark_count,content_type
yt_comm_UgzXZ3kxOBOvLi8IEpp4AaABAg,2025-05-25T12:35:37.448067+00:00,@ahmedelazhary9882,,YouTube,2025-05-25T12:24:40+00:00,,"That looks so prefect , Bravo Lando",nan,https://www.youtube.com/watch?v=_5Lr6fDIZG8,0,0,0,0,0,commento
yt_comm_UgzJ0wWqkdyDr_-UcP94AaABAg,2025-05-25T12:35:37.448067+00:00,@claudio2739,,YouTube,2025-05-25T12:09:21+00:00,,"Semplicemente perfetto,sublime!!!!",nan,https://www.youtube.com/watch?v=_5Lr6fDIZG8,0,0,0,0,0,commento
yt_comm_Ugx4V0SDphbDiB5LUzR4AaABAg,2025-05-25T12:35:37.448067+00:00,@AureliaVidya,,YouTube,2025-05-25T12:03:01+00:00,,"Hopefully, he needed this lap to gather his belongings.",nan,https://www.youtube.com/watch?v=_5Lr6fDIZG8,12,0,0,0,0,commento
yt_comm_Ugy4MmNxrpAwyRBqPXx4AaABAg,2025-05-25T12:35:37.448067+00:00,@Teeeeeeeeee46,,YouTube,2025-05-25T11:46:22+00:00,,When are they going to do Canada?,nan,https://www.youtube.com/watch?v=_5Lr6fDIZG8,0,0,0,0,0,commento
yt_comm_UgxU6IcvAMv9lSEcuvt4AaABAg,2025-05-25T12:35:37.448067+00:00,@paparazzi1236,,YouTube,2025-05-25T11:43:45+00:00,,"Norris has a fast car, that is it",nan,https://www.youtube.com/watch?v=_5Lr6fDIZG8,0,0,0,0,0,commento
yt_comm_Ugw4xR3bwJLt23APw0R4AaABAg,2025-05-25T12:35:37.448067+00:00,@jph6272,,YouTube,2025-05-25T11:28:00+00:00,,"Incredible lap, literally mm’s from smashing into a corner",nan,https://www.youtube.com/watch?v=_5Lr6fDIZG8,0,0,0,0,0,commento
yt_comm_UgyS1YjwJQmDW588ANN4AaABAg,2025-05-25T12:35:37.448067+00:00,@notiziesulcalcio,,YouTube,2025-05-25T11:08:58+00:00,,"From a Ferrari fan, spectacular lando!",nan,https://www.youtube.com/watch?v=_5Lr6fDIZG8,0,0,0,0,0,commento
yt_comm_Ugww7aVw9nS7v_S8cid4AaABAg,2025-05-25T12:35:37.448067+00:00,@gregorystuby2761,,YouTube,2025-05-25T10:55:16+00:00,,"Somehow, I am not too fond of the Monaco race track. It's frightening.",nan,https://www.youtube.com/watch?v=_5Lr6fDIZG8,0,0,0,0,0,commento
yt_comm_UgzqWxvqCY2jAP6i3K54AaABAg,2025-05-25T12:35:37.448067+00:00,@Luckyfox_112,,YouTube,2025-05-25T10:52:07+00:00,,0:58,nan,https://www.youtube.com/watch?v=_5Lr6fDIZG8,0,0,0,0,0,commento
yt_comm_UgxYWh6E3I5Q75SulpJ4AaABAg,2025-05-25T12:35:37.448067+00:00,@Luckyfox_112,,YouTube,2025-05-25T10:50:51+00:00,,almost into the wall 0:47,nan,https://www.youtube.com/watch?v=_5Lr6fDIZG8,0,0,0,0,0,commento
yt_comm_Ugx08dK9lD6aERyDFyx4AaABAg,2025-05-25T12:35:37.448067+00:00,@Venividivici55555,,YouTube,2025-05-25T10:43:09+00:00,,Over/under 2 overtakes in today's full race? I say under.,nan,https://www.youtube.com/watch?v=_5Lr6fDIZG8,0,1,0,0,0,commento
yt_comm_UgxSXGOuxT_c7fnmIsd4AaABAg,2025-05-25T12:35:37.448067+00:00,@yibambe4ever74,,YouTube,2025-05-25T10:38:43+00:00,,Car>>>>>>>>Norris,nan,https://www.youtube.com/watch?v=_5Lr6fDIZG8,0,0,0,0,0,commento
yt_comm_UgwQCUICYTdgWR56D6F4AaABAg,2025-05-25T12:35:37.448067+00:00,@jacobolson6145,,YouTube,2025-05-25T10:31:41+00:00,,This is hopefully the lap he needed to get his stuff together,nan,https://www.youtube.com/watch?v=_5Lr6fDIZG8,0,0,0,0,0,commento
yt_comm_UgyZC9sGFfa4YpQN5tp4AaABAg,2025-05-25T12:35:37.448067+00:00,@IronZk,,YouTube,2025-05-25T10:27:24+00:00,,the microphone is horible,nan,https://www.youtube.com/watch?v=_5Lr6fDIZG8,0,0,0,0,0,commento
yt_comm_Ugym0bQ28tgcFyjHkml4AaABAg,2025-05-25T12:35:37.448067+00:00,@joelmspencer,,YouTube,2025-05-25T10:26:57+00:00,,"********** stunning. Best lap of the year so far. Absolute perfection, and I love the way he was pushing so hard he had to collect the rear end after the swimming pool. Talk about being on the ragged edge. Man and machine in perfect harmony.",nan,https://www.youtube.com/watch?v=_5Lr6fDIZG8,0,0,0,0,0,commento
