content_id,observation_time,user,user_location,social_media,publish_date,geo_location,comment_raw_text,emoji,reference_post_url,like_count,reply_count,repost_count,quote_count,bookmark_count,content_type
yt_comm_UgxfpARmX3veEVf57K14AaABAg,2025-05-25T14:29:52.115891+00:00,@layonvictor7863,,YouTube,2025-05-25T14:15:57+00:00,,"Essa McLaren é absurda de rápida, trabalho excelente dos construtores 👏🏼👏🏼",👏🏼,https://www.youtube.com/watch?v=_5Lr6fDIZG8,0,0,0,0,0,commento
yt_comm_Ugzs5fpQH8f8kKXaJDl4AaABAg,2025-05-25T14:29:52.115891+00:00,@perryewilsonjr,,YouTube,2025-05-25T13:25:42+00:00,,He was moving!!! This video is so amazing,nan,https://www.youtube.com/watch?v=_5Lr6fDIZG8,0,0,0,0,0,commento
yt_comm_UgxlyFWFgp6ChzEF0IJ4AaABAg,2025-05-25T14:29:52.115891+00:00,@VictorCMDo,,YouTube,2025-05-25T13:15:29+00:00,,impressive....wow,nan,https://www.youtube.com/watch?v=_5Lr6fDIZG8,0,0,0,0,0,commento
yt_comm_UgwKemNaM1lOyNsY_IN4AaABAg,2025-05-25T14:29:52.115891+00:00,@alexreed8798,,YouTube,2025-05-25T13:14:46+00:00,,Huge L to everyone who was counting Lando out already,nan,https://www.youtube.com/watch?v=_5Lr6fDIZG8,0,0,0,0,0,commento
yt_comm_UgzmlyN4rqCaGcUjB754AaABAg,2025-05-25T14:29:52.115891+00:00,@SuperDododidi,,YouTube,2025-05-25T13:07:49+00:00,,Name your videos differently! I’m not up to date and wanted to watch the highlights first but thanks to you I don’t need to because I know everything important from the name of the video🤷🏻‍♂️ why do you need to add the name of the driver and a picture of their car?! Just name it pole lap Monaco and everybody that wants to see it can do that and easily find it but everybody else won’t be spoilered!,🤷🏻‍♂️,https://www.youtube.com/watch?v=_5Lr6fDIZG8,1,0,0,0,0,commento
yt_comm_UgwUu64YM8jPak_YirB4AaABAg,2025-05-25T14:29:52.115891+00:00,@STEASE,,YouTube,2025-05-25T12:57:48+00:00,,*Waiting for Red Bulls (Horners) sus response*,nan,https://www.youtube.com/watch?v=_5Lr6fDIZG8,0,0,0,0,0,commento
yt_comm_UgzZEfmtsVZkfIYDS7h4AaABAg,2025-05-25T14:29:52.115891+00:00,@Ilovetennisbird69,,YouTube,2025-05-25T12:49:18+00:00,,The New Camera FOV is Goated,nan,https://www.youtube.com/watch?v=_5Lr6fDIZG8,0,0,0,0,0,commento
yt_comm_UgyA7gZbf0V_zQJpJQZ4AaABAg,2025-05-25T14:29:52.115891+00:00,@br2324,,YouTube,2025-05-25T12:38:42+00:00,,"weird how it was green green yellow, yet new lap record",nan,https://www.youtube.com/watch?v=_5Lr6fDIZG8,0,0,0,0,0,commento
yt_comm_UgzXZ3kxOBOvLi8IEpp4AaABAg,2025-05-25T14:29:52.115891+00:00,@ahmedelazhary9882,,YouTube,2025-05-25T12:24:40+00:00,,"That looks so prefect , Bravo Lando",nan,https://www.youtube.com/watch?v=_5Lr6fDIZG8,0,0,0,0,0,commento
yt_comm_UgzJ0wWqkdyDr_-UcP94AaABAg,2025-05-25T14:29:52.115891+00:00,@claudio2739,,YouTube,2025-05-25T12:09:21+00:00,,"Semplicemente perfetto,sublime!!!!",nan,https://www.youtube.com/watch?v=_5Lr6fDIZG8,0,0,0,0,0,commento
yt_comm_Ugx4V0SDphbDiB5LUzR4AaABAg,2025-05-25T14:29:52.115891+00:00,@AureliaVidya,,YouTube,2025-05-25T12:03:01+00:00,,"Hopefully, he needed this lap to gather his belongings.",nan,https://www.youtube.com/watch?v=_5Lr6fDIZG8,54,0,0,0,0,commento
yt_comm_Ugy4MmNxrpAwyRBqPXx4AaABAg,2025-05-25T14:29:52.115891+00:00,@Teeeeeeeeee46,,YouTube,2025-05-25T11:46:22+00:00,,When are they going to do Canada?,nan,https://www.youtube.com/watch?v=_5Lr6fDIZG8,0,0,0,0,0,commento
yt_comm_UgxU6IcvAMv9lSEcuvt4AaABAg,2025-05-25T14:29:52.115891+00:00,@paparazzi1236,,YouTube,2025-05-25T11:43:45+00:00,,"Norris has a fast car, that is it",nan,https://www.youtube.com/watch?v=_5Lr6fDIZG8,0,0,0,0,0,commento
